index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 3, 1, 1, 1, 1, 5, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,368421.05263157893,1.0,5.564932118409657,758440.4574572144,24.3749478809087,1.1676592559435532,6,0.430228721296273,6.428625668069224,32.64021887742884,3.8774365340071495
"(1, 3, 1, 1, 1, 1, 6, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,410526.3157894737,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
"(1, 3, 1, 1, 1, 1, 6, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,410526.3157894737,1.0,5.542710708937921,755795.3494729331,24.24842296835594,1.1629670431542571,6,0.4277054916058928,6.418376165620523,32.26235027461563,3.8706168261521774
"(1, 3, 1, 1, 1, 1, 7, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,452631.5789473684,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
"(1, 3, 1, 1, 1, 1, 7, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,452631.5789473684,1.0,5.524661823680637,753651.3615842228,24.14601991800383,1.1591562012265721,6,0.42565972306116057,6.410054769012269,31.954782807209526,3.8650800214050514
"(1, 3, 1, 1, 1, 1, 8, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,494736.84210526315,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
"(1, 3, 1, 1, 1, 1, 8, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,494736.84210526315,1.0,5.509786857230603,751883.069442534,24.06166038012975,1.156014847326016,6,0.42397616180437514,6.403182081195993,31.69956724914914,3.8605071435195137
"(1, 3, 1, 1, 1, 1, 9, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,536842.1052631579,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
"(1, 3, 1, 1, 1, 1, 9, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,536842.1052631579,1.0,5.497287814739949,750397.9532648046,23.99088039823552,1.1533751553691665,6,0.42256325488632707,6.397403403681282,31.48438550411784,3.8566621868852113
"(1, 3, 1, 1, 1, 1, 10, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,578947.3684210526,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
